,Rank,Name,Link,Brand channel,Subscribers (millions),Primary language,Category,Country,Channels
0,1,T-Series,Link,Yes,238,Hindi[7][8],Music,India,T-Series
1,2,Cocomelon,Link,Yes,155,English,Education,United States,Cocomelon
2,3,Sony Entertainment Television India,Link,Yes,153,Hindi[9],Entertainment,India,Sony Entertainment Television India
3,4,MrBeast,Link,No,137,English,Entertainment,United States,MrBeast
4,5,PewDiePie,Link,No,111,English,Games,Sweden,PewDiePie
5,6,Kids Diana Show,Link,Yes,109,English[10][11][12],Entertainment,Ukraine,Kids Diana Show
6,7,Like Nastya,Link,No,105,English,Entertainment,United States,Like Nastya
7,8,Vlad and Niki,Link,No,94.9,English,Entertainment,Russia,Vlad and Niki
8,9,WWE,Link,Yes,93.8,English,Sports,United States,WWE
9,10,Zee Music Company,Link,Yes,93.4,Hindi[13][14],Music,India,Zee Music Company
10,11,Blackpink,Link,Yes,84.8,Korean,Music,South Korea,Blackpink
11,12,Goldmines,Link,Yes,83.3,Hindi,Film,India,Goldmines
12,13,5-Minute Crafts,Link,Yes,79.2,English,How-to,Cyprus[a],5-Minute Crafts
13,14,Sony SAB,Link,Yes,78.2,Hindi,Entertainment,India,Sony SAB
14,15,BangtanTV,Link,No,73.9,Korean,Music,South Korea,BangtanTV
15,16,Justin Bieber,Link,No,71.1,English,Music,Canada,Justin Bieber
16,17,Hybe Labels,Link,Yes,69.5,Korean,Music,South Korea,Hybe Labels
17,18,Canal KondZilla,Link,Yes,66.4,Portuguese,Music,Brazil,Canal KondZilla
18,19,Zee TV,Link,Yes,66.3,Hindi,Entertainment,India,Zee TV
19,20,Pinkfong,Link,Yes,66.1,English,Education,South Korea,Pinkfong
20,21,Shemaroo Entertainment,Link,Yes,64.2,Hindi,Music,India,Shemaroo Entertainment
21,22,ChuChu TV,Link,Yes,63.2,Hindi[16],Education,India,ChuChu TV
22,23,Colors TV,Link,Yes,60.6,Hindi,Entertainment,India,Colors TV
23,24,Dude Perfect,Link,No,59,English,Sports,United States,Dude Perfect
24,25,Movieclips,Link,Yes,58.8,English,Film,United States,Movieclips
25,26,T-Series Bhakti Sagar,Link,Yes,58.4,Hindi,Music,India,T-Series Bhakti Sagar
26,27,Tips Industries,Link,Yes,57.3,Hindi,Entertainment,India,Tips Industries
27,28,Wave Music,Link,Yes,56.6,Bhojpuri,Music,India,Wave Music
28,29,Marshmello,Link,No,56.2,English,Music,United States,Marshmello
29,30,Sony Music India,Link,Yes,56.1,Hindi,Music,India,Sony Music India
30,31,El Reino Infantil,Link,Yes,56,Spanish,Music,Argentina,El Reino Infantil
31,32,Aaj Tak,Link,Yes,55.9,Hindi,News,India,Aaj Tak
32,33,Eminem,Link,No,55.6,English,Music,United States,Eminem
33,34,LooLoo Kids,Link,Yes,53.1,English,Music,Romania,LooLoo Kids
34,35,Ed Sheeran,Link,No,53,English,Music,United Kingdom,Ed Sheeran
35,36,Yash Raj Films,Link,Yes,52.7,Hindi,Music,India,Yash Raj Films
36,37,Ariana Grande,Link,No,52.4,English,Music,United States,Ariana Grande
37,38,Taylor Swift,Link,No,51.1,English,Music,United States,Taylor Swift
38,39,BillionSurpriseToys,Link,Yes,50.6,English,Entertainment,United States,BillionSurpriseToys
39,40,Infobells,Link,Yes,49.8,Hindi,Education,India,Infobells
40,41,JuegaGerman,Link,No,47.6,Spanish,Games,Chile,JuegaGerman
41,42,Billie Eilish,Link,No,47.4,English,Music,United States,Billie Eilish
42,43,Badabun,Link,Yes,46.5,Spanish,Entertainment,Mexico,Badabun
43,44,Fernanfloo,Link,No,45.7,Spanish,Games,El Salvador,Fernanfloo
44,45,Bad Bunny,Link,No,45.4,Spanish,Music,United States ( Puerto Rico),Bad Bunny
45,46,SonyMusicIndiaVEVO,Link,Yes,45.4,Hindi,Music,India,SonyMusicIndiaVEVO
46,47,Shemaroo,Link,Yes,45.2,Hindi,Entertainment,India,Shemaroo
47,48,Get Movies,Link,Yes,45,Russian,Entertainment,Russia,Get Movies
48,49,Felipe Neto,Link,No,44.9,Portuguese,Entertainment,Brazil,Felipe Neto
49,50,A4,Link,No,44.6,Russian,Entertainment,Belarus,A4
50,"As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC"
